MF Code,Debt,Cash & Cash Eqv.,Equity
SBI Nifty 50 ETF,0,0.0,100.0
SBI S&P BSE Sensex ETF,0,0.0,100.0
HDFC Balanced Advantage Fund(G),27.87,3.03,67.42,1.68
SBI Liquid Fund-Reg(G),113.61,-13.83,0,0.23
SBI Equity Hybrid Fund-Reg(G),20.22,2.17,75.15,2.46
Parag Parikh Flexi Cap Fund-Reg(G),3.44,10.1,86.46
HDFC Mid-Cap Opportunities Fund(G),0,7.47,92.53
HDFC Liquid Fund(G),105.14,-5.39,0,0.25
ICICI Pru Balanced Advantage Fund(G),24.7,3.22,67.97,0.98,3.13
ICICI Pru Bluechip Fund(G),0.21,8.44,91.35
