s_name1,fund_house,schemecode,s_name
SBI Nifty 50 ETF,SBI Mutual Fund,33369,SBI Nifty 50 ETF
SBI S&P BSE Sensex ETF,SBI Mutual Fund,20447,SBI S&P BSE Sensex ETF
HDFC Balanced Advantage Fund(G),HDFC Mutual Fund,1273,HDFC Balanced Advantage Fund(G)
SBI Liquid Fund-Reg(G),SBI Mutual Fund,2828,SBI Liquid Fund-Reg(G)
SBI Equity Hybrid Fund-Reg(G),SBI Mutual Fund,2747,SBI Equity Hybrid Fund-Reg(G)
Parag Parikh Flexi Cap Fund-Reg(G),PPFAS Mutual Fund,21520,Parag Parikh Flexi Cap Fund-Reg(G)
HDFC Mid-Cap Opportunities Fund(G),HDFC Mutual Fund,1305,HDFC Mid-Cap Opportunities Fund(G)
HDFC Liquid Fund(G),HDFC Mutual Fund,1286,HDFC Liquid Fund(G)
ICICI Pru Balanced Advantage Fund(G),ICICI Prudential Mutual Fund,1470,ICICI Pru Balanced Advantage Fund(G)
ICICI Pru Bluechip Fund(G),ICICI Prudential Mutual Fund,4980,ICICI Pru Bluechip Fund(G)
